primary_key,age,income,years_experience,target
43a32e8f-8c43-4b9a-94a5-0c09778cfe0d,56.0,70794.0,12.0,0.0
43e8f4b8-366c-4c6b-b024-635f3535f083,46.0,109459.0,0.0,0.0
d49c2b59-d06a-4733-9b62-8df15f535c0b,32.0,147932.0,13.0,0.0
9e06fb70-84b6-4e3a-aaff-45b8c8585275,25.0,80192.0,28.0,1.0
643d55b9-c941-4182-9339-7f319f62dd0e,38.0,57703.0,2.0,0.0
6ea23578-b149-45b8-9fe7-15a2800306bb,56.0,114193.0,23.0,1.0
7339a353-e18e-40f8-848a-cd2fac14520e,36.0,99165.0,0.0,0.0
1869b444-467c-4142-856c-510efc826dc0,40.0,97650.0,9.0,0.0
8f194137-013f-4dad-99cf-d1c25d6c4ed8,28.0,86516.0,12.0,0.0
657c9d73-13ea-4522-a0c2-4d7d16e1acb5,28.0,129981.0,35.0,1.0
1cea794a-b9fb-43f6-af6b-7915fb8a9262,41.0,131398.0,8.0,0.0
79fe8907-dfc7-44b5-9a27-d5ee45f16df0,53.0,121110.0,13.0,0.0
81f95b19-48de-4355-96c4-cff5a6784b2e,57.0,127885.0,35.0,1.0
da973513-0080-4e3e-9663-c9c9b920abfa,41.0,52257.0,9.0,0.0
9cf018e4-25b1-4ecd-a2a4-a8327084886e,20.0,130588.0,39.0,0.0
9bd554da-ab44-4487-81b8-5365bc185908,39.0,133356.0,22.0,0.0
41780f09-bee2-4748-bce7-2d81e7c0db01,19.0,113509.0,34.0,1.0
99f6ce3a-ba18-4845-b723-be57f671c7e5,41.0,121273.0,6.0,0.0
cf4b6717-93ac-460e-998c-cc4f7f342942,47.0,81672.0,34.0,0.0
6f5577b2-f32b-47d0-849b-dcc4929eb853,55.0,93308.0,1.0,1.0
dc481bac-bffc-4b4e-b6b2-48c26e76ada1,19.0,107583.0,14.0,1.0
180aedae-ee68-4aef-9c62-7523d693d355,38.0,149336.0,8.0,0.0
05b6fe4a-b920-4070-ba1b-934534fa1f97,50.0,52113.0,16.0,0.0
24efd6ad-262e-42eb-8b58-56a1c20a29fb,29.0,30694.0,38.0,0.0
d33290fe-65cc-4298-a0c4-46ae982d92bc,39.0,45588.0,17.0,0.0
d2db2219-ab77-4ca5-bf73-8290ef0829bf,42.0,91756.0,14.0,1.0
7d8ed9ff-e2a0-4132-b62d-ffecc9e77370,44.0,94085.0,17.0,1.0
9723a9ba-ae23-4579-9326-12c4bc8ee4a6,59.0,141359.0,23.0,1.0
37ba22e7-182a-420d-85dd-4b8ee9de9625,45.0,144384.0,22.0,0.0
a7d963d3-195e-4c24-9807-44f517cdb217,33.0,91142.0,11.0,1.0
ef3a94a2-077a-49ef-a1f8-af6424b795e3,32.0,94373.0,22.0,1.0
5c2970c6-9a4b-45bd-8db5-95cbe7a8c2b7,20.0,115603.0,20.0,0.0
e03cbdb3-d6e4-457a-9b8c-4434fb9736c2,54.0,36704.0,25.0,0.0
dce27654-baf9-49e8-bde5-8c4df8f94f6c,24.0,70136.0,7.0,0.0
fc81678b-a0e0-42bd-869b-68a5b1fcfeef,38.0,97507.0,29.0,0.0
4e187b43-b2f9-4b2d-9342-b5ab367611b0,26.0,77361.0,33.0,0.0
c67de9a8-4b54-4bd1-98ad-ebf76dac39df,56.0,88847.0,1.0,0.0
14c615a0-75b7-424d-9df9-9b4591b6cd64,35.0,136359.0,4.0,1.0
75714cc8-95ec-45a8-964f-2a613fbd30c4,21.0,41441.0,30.0,0.0
60d39d77-8d5e-480e-ae03-5442a440f939,42.0,127012.0,32.0,0.0
8bbed541-e320-463d-8890-7684fb368159,31.0,148906.0,3.0,1.0
8e315130-0483-44c2-beca-425ad46c3da9,26.0,44677.0,5.0,1.0
37f96d8b-eb43-4f0c-a1ed-714ba234248f,43.0,57818.0,22.0,1.0
9699ea71-6be9-4067-9c42-9c95a24216ee,19.0,31868.0,18.0,1.0
7ab9d80b-1965-46da-9c8d-59b56a9d38fe,37.0,113591.0,7.0,1.0
b00920c6-fd1f-41f7-9ae0-87443fa3b836,45.0,97264.0,38.0,0.0
f64d45d5-c09e-4d13-828b-4dd5224126d6,24.0,103168.0,12.0,0.0
3b9c3885-1038-4b62-93f7-6f366656a6f3,25.0,42043.0,0.0,1.0
76928ddf-6cf3-4608-8f75-1468a68a978e,52.0,101939.0,5.0,1.0
0ba8f8dd-e5eb-4bf9-8b2f-0ff06aa074d9,31.0,45732.0,6.0,1.0
5b708a03-3652-4d2b-9fa0-24dd9950243d,34.0,85244.0,26.0,1.0
ff25c646-af79-4a51-b4ac-d954665c7733,53.0,48526.0,14.0,0.0
010e7038-dbb4-4580-97f6-35c2f0c4c70c,57.0,39340.0,33.0,1.0
ec21e62a-44d2-44db-ad8d-bf9a1c9a7374,21.0,134488.0,22.0,1.0
65843125-26c4-4f92-876d-9d243508923b,19.0,52394.0,23.0,0.0
3521a932-8d6f-4b26-85da-30fd86318415,23.0,128557.0,14.0,0.0
d97d6ef0-973c-4a77-a441-abf152bf4d2b,59.0,34102.0,34.0,0.0
0b55f007-c1c0-4bc7-9fa3-493073b4d8ad,21.0,131846.0,3.0,1.0
4c7d6114-1a3a-4544-a053-e4e56dd48f75,46.0,49159.0,36.0,1.0
bcb54dfa-6ee7-47b0-8368-e37be6f9116f,35.0,95092.0,16.0,0.0
68848c42-02ed-453c-aaeb-4832a47e006f,43.0,36212.0,30.0,1.0
65ba567b-7bed-4069-873b-f177655d1a96,51.0,127360.0,37.0,1.0
652d5362-b3e5-4d42-a16b-6c0d411071b0,27.0,67405.0,9.0,0.0
82e9f618-f4bb-4c36-82fc-e2c36cd9d210,53.0,107061.0,26.0,0.0
49ad5d40-deaf-427f-b25c-f6e719404623,31.0,124296.0,5.0,0.0
7b5949d1-0d78-4b3d-b646-8ab8c3b4aa52,48.0,85186.0,5.0,1.0
81098ae8-d10e-45e8-a402-2ff701ef2318,32.0,74239.0,14.0,0.0
d2917d1d-8c17-4b2a-898f-888f655045d7,25.0,140804.0,3.0,1.0
