age,income,years_experience,target
56,70794,12,0
46,109459,0,0
32,147932,13,0
25,80192,28,1
38,57703,2,0
56,114193,23,1
36,99165,0,0
40,97650,9,0
28,86516,12,0
28,129981,35,1
41,131398,8,0
53,121110,13,0
57,127885,35,1
41,52257,9,0
20,130588,39,0
39,133356,22,0
19,113509,34,1
41,121273,6,0
47,81672,34,0
55,93308,1,1
19,107583,14,1
38,149336,8,0
50,52113,16,0
29,30694,38,0
39,45588,17,0
42,91756,14,1
44,94085,17,1
59,141359,23,1
45,144384,22,0
33,91142,11,1
32,94373,22,1
20,115603,20,0
54,36704,25,0
24,70136,7,0
38,97507,29,0
26,77361,33,0
56,88847,1,0
35,136359,4,1
21,41441,30,0
42,127012,32,0
31,148906,3,1
26,44677,5,1
43,57818,22,1
19,31868,18,1
37,113591,7,1
45,97264,38,0
24,103168,12,0
25,42043,0,1
52,101939,5,1
31,45732,6,1
34,85244,26,1
53,48526,14,0
57,39340,33,1
21,134488,22,1
19,52394,23,0
23,128557,14,0
59,34102,34,0
21,131846,3,1
46,49159,36,1
35,95092,16,0
43,36212,30,1
51,127360,37,1
27,67405,9,0
53,107061,26,0
31,124296,5,0
48,85186,5,1
32,74239,14,0
25,140804,3,1
31,122993,39,1
40,143551,6,1
57,40532,25,0
38,109054,30,0
33,102012,1,0
35,147836,27,1
41,115279,12,0
43,96540,17,0
42,138590,29,1
58,133021,10,1
46,33271,12,0
32,75482,23,0
18,30209,28,1
42,120999,4,1
24,35539,34,1
26,144841,18,0
41,49977,12,0
18,104142,4,1
25,139920,13,0
41,129588,37,0
28,98684,21,0
34,129072,8,1
25,35607,39,0
52,115122,25,1
52,124786,4,0
50,81939,28,1
22,48594,21,1
59,88382,2,0
56,37399,27,0
58,55117,37,1
45,128662,13,1
24,63617,13,0
26,37498,10,1
25,132826,8,1
29,147232,37,0
51,141077,5,0
50,146519,0,0
40,80624,24,0
41,39628,15,1
54,30329,14,0
52,68619,33,0
57,37032,16,0
39,78094,2,0
44,68034,2,1
52,132658,36,1
18,116158,16,0
52,85264,37,0
54,124120,0,0
31,77850,6,0
20,34722,25,1
18,47772,38,1
22,116105,18,1
43,71679,29,1
31,98771,13,0
56,34576,12,1
44,56707,19,1
26,129404,25,0
32,71632,26,1
32,71476,24,1
43,147220,8,1
59,60285,11,0
30,54154,9,0
49,50054,5,0
56,47165,33,0
49,44439,18,1
21,148211,5,1
47,74518,1,0
54,118051,14,0
40,56962,16,0
56,83934,15,1
32,138085,27,1
46,67763,20,0
53,146189,7,0
30,140290,9,0
49,94094,9,0
24,140814,9,0
39,49464,8,0
45,72036,27,0
19,125949,23,0
59,63270,18,1
23,72299,32,0
45,115805,3,1
45,61541,2,0
37,103545,11,1
47,112543,17,0
28,121998,22,0
45,107078,19,1
42,112970,5,0
56,59765,33,1
50,53769,1,1
18,118001,29,1
44,117404,8,0
30,50156,26,1
58,115836,33,0
20,148706,39,1
56,80481,23,0
23,43435,16,1
25,99650,28,1
44,76336,35,0
26,66135,11,0
54,103631,30,0
50,67909,8,0
59,99487,18,0
41,51468,16,0
32,122609,1,0
49,77655,39,0
49,64341,4,0
41,141663,38,1
58,94182,15,1
29,81786,16,1
56,98304,26,1
19,133606,6,0
20,76514,7,1
54,63979,7,1
34,120887,22,1
19,110981,31,0
19,85107,17,0
45,144119,37,1
40,31160,11,1
54,117897,14,1
49,102577,27,0
50,114303,37,1
18,40846,30,1
36,134180,8,0
19,49924,7,1
43,141193,18,1
49,43882,7,1
23,110274,33,1
49,116555,3,1
21,31095,30,1
28,134205,37,1
34,70983,2,1
55,141215,34,0
41,44123,18,1
22,123668,28,1
51,96615,9,1
23,125193,11,0
39,75278,29,1
28,127911,29,0
33,120290,17,1
50,81999,23,0
26,61153,31,0
23,48344,8,0
33,129777,23,1
46,67656,25,1
20,100515,2,0
37,31212,22,1
53,39001,10,0
36,108784,9,1
43,128723,35,1
20,111144,12,0
36,66427,28,0
37,61368,37,1
49,100819,12,0
24,91160,25,0
58,55854,19,1
50,40715,4,0
57,111701,19,1
56,88784,13,1
35,129644,13,0
57,56797,7,0
18,77573,12,0
28,106120,23,1
45,44780,14,0
42,67905,0,1
40,51573,21,0
48,146049,33,0
47,63359,39,1
59,96062,2,0
52,103391,25,0
24,73463,13,1
33,129596,7,0
43,146342,15,0
19,125018,20,1
18,46571,9,0
29,127276,24,0
22,49142,37,1
54,55104,21,0
49,38625,3,0
26,69199,3,0
58,45926,29,1
52,61218,1,0
36,74472,28,1
33,121916,35,0
20,50566,20,0
37,86125,20,0
41,63205,20,0
50,139084,3,0
41,59717,0,0
28,79984,25,0
25,137292,1,0
53,55135,8,0
55,58164,17,1
57,104489,10,0
37,68562,24,1
52,99110,25,1
42,50169,35,0
52,89858,34,1
42,51604,37,1
46,119670,2,1
35,144605,34,1
35,118738,39,0
19,30684,21,1
52,132537,7,0
33,145265,14,1
58,141301,6,1
53,38007,18,1
